Time SPL GCR BRC VID ORO ALF ANG CHO OTA DOL CET BIR SQD OCT LPF SPF SBF LBF SZO MZO LZO SCR BFF LPH SPH COR BCA MOL MA PB BB DL DR DC DIN RelSPL RelGCR RelBRC RelVID RelORO RelALF RelANG RelCHO RelOTA RelDOL RelCET RelBIR RelSQD RelOCT RelLPF RelSPF RelSBF RelLBF RelSZO RelMZO RelLZO RelSCR RelBFF RelLPH RelSPH RelCOR RelBCA RelMOL RelMA RelPB RelBB RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
2.000000e+01 0.000000 0.000000 204.791059 4.166719 4892.617334 2663.582557 0.014363 87.985891 518.564501 215.410161 216840.372484 0.586541 1.637796 1.779621 145.054861 2083.145331 58.356919 99.377541 6.257666 6.464340 8.685539 0.025114 0.000080 0.333012 0.350870 0.000083 0.000089 0.000098 0.000083 4.935748 0.000574 0.000193 0.000642 0.000000 4957164.905162 0.000000 0.000000 0.946325 1.000400 1.000001 0.993128 0.996097 1.000018 1.000087 1.000001 0.999990 1.001181 3289.836032 2466.273915 0.770465 0.999933 0.999742 0.844149 30046.310364 44320.321359 85353.759616 1.002367 1.000000 40.236251 28.109021 15.019817 7.041773 4.407080 14.933954 1.000000 1.000000 1.000000 1.000000 1.000000 2.338663 513297551418754944.000000 4154.240137 11.600000 0.228636 19112.403781 0.000000
2.100000e+01 0.000000 0.000000 204.790996 4.166801 4892.617393 2663.582571 0.014364 87.985975 518.566738 215.410173 216840.264684 0.565785 1.699808 1.849399 145.053663 2083.138809 58.356460 99.376014 6.458140 6.709056 9.116945 0.025113 0.000080 0.381878 0.418362 0.000083 0.000089 0.000098 0.000083 5.048307 0.000574 0.000220 0.000684 0.000000 5101148.038230 0.000000 0.000000 0.946324 1.000420 1.000001 0.993128 0.996112 1.000019 1.000091 1.000001 0.999990 0.965751 3414.399772 2562.975228 0.770458 0.999929 0.999734 0.844136 31008.891521 45998.125819 89593.238618 1.002331 1.000000 46.140496 33.515930 15.019817 7.041770 4.407076 14.933953 1.000000 1.000000 1.000000 1.000000 1.000000 2.406590 513251329154402816.000000 4154.588136 11.644444 0.228636 19112.394280 0.000000
2.200000e+01 0.000000 0.000000 204.790932 4.166884 4892.617448 2663.582586 0.014364 87.986058 518.568974 215.410185 216840.156885 0.565819 1.761827 1.919188 145.052464 2083.132229 58.356011 99.374560 6.661893 6.952139 9.548758 0.025112 0.000080 0.446592 0.511393 0.000083 0.000089 0.000098 0.000083 7.031359 0.000574 0.000248 0.000727 0.000000 5244331.258475 0.000000 0.000000 0.946324 1.000440 1.000001 0.993128 0.996126 1.000020 1.000095 1.000001 0.999989 0.965811 3538.978124 2659.691980 0.770452 0.999926 0.999727 0.844124 31987.217787 47664.728124 93836.709300 1.002295 1.000000 53.959506 40.968922 15.019817 7.041766 4.407072 14.933952 1.000000 1.000000 1.000000 1.000000 1.000000 2.474140 513210052976346368.000000 4154.898681 11.644444 0.228636 19112.384778 0.000000
2.300000e+01 0.000000 0.000000 204.790868 4.166967 4892.617500 2663.582599 0.014364 87.986142 518.571210 215.410196 216840.049086 0.565854 1.823853 1.988987 145.051266 2083.125599 58.355570 99.373070 6.863782 7.196101 9.981454 0.025111 0.000080 0.557930 0.676510 0.000083 0.000089 0.000098 0.000083 7.034621 0.000574 0.000275 0.000772 0.000000 5387266.880159 0.000000 0.000000 0.946324 1.000460 1.000001 0.993128 0.996141 1.000021 1.000100 1.000001 0.999989 0.965870 3663.569532 2756.422264 0.770446 0.999923 0.999719 0.844111 32956.589241 49337.363816 98088.868260 1.002258 1.000000 67.411957 54.196755 15.019817 7.041762 4.407068 14.933952 1.000000 1.000000 1.000000 1.000000 1.000000 2.541574 513172313996714240.000000 4155.182407 11.666667 0.228636 19112.375277 0.000000
2.400000e+01 0.000000 0.000000 204.790803 4.167050 4892.617549 2663.582613 0.014364 87.986226 518.573446 215.410208 216839.941287 0.565889 1.885886 2.058796 145.050067 2083.118915 58.355137 99.371580 7.063750 7.440992 10.415813 0.025110 0.000080 0.755884 0.977989 0.000083 0.000089 0.000098 0.000083 7.048424 0.000574 0.000303 0.000817 0.000000 5529957.140787 0.000000 0.000000 0.946323 1.000480 1.000001 0.993128 0.996156 1.000022 1.000104 1.000001 0.999988 0.965929 3788.174812 2853.166976 0.770439 0.999920 0.999712 0.844098 33916.740808 51016.369555 102357.360303 1.002222 1.000000 91.329853 78.348966 15.019817 7.041758 4.407064 14.933951 1.000000 1.000000 1.000000 1.000000 1.000000 2.608891 513136843543221568.000000 4155.448777 11.644444 0.228636 19112.365775 0.000000
2.500000e+01 0.000000 0.000000 204.790738 4.167133 4892.617597 2663.582626 0.014364 87.986311 518.575682 215.410220 216839.833488 0.565923 1.947926 2.128616 145.048869 2083.112173 58.354709 99.370090 7.261744 7.686877 10.854453 0.025109 0.000080 1.117964 1.540718 0.000083 0.000089 0.000098 0.000083 7.049653 0.000574 0.000331 0.000864 0.000000 5672402.236677 0.000000 0.000000 0.946323 1.000500 1.000001 0.993128 0.996171 1.000023 1.000108 1.000001 0.999988 0.965988 3912.794837 2949.927073 0.770433 0.999917 0.999704 0.844086 34867.410982 52702.186406 106667.921868 1.002185 1.000000 135.078118 123.430486 15.019817 7.041753 4.407059 14.933951 1.000000 1.000000 1.000000 1.000000 1.000000 2.676093 513100520707432896.000000 4155.720665 11.622222 0.228636 19112.356274 0.000000
2.600000e+01 0.000000 0.000000 204.790672 4.167215 4892.617643 2663.582638 0.014365 87.986395 518.577918 215.410231 216839.725689 0.565958 2.009974 2.198449 145.047670 2083.105369 58.354287 99.368564 7.440530 7.941444 11.387664 0.025108 0.000080 1.781939 2.516823 0.000083 0.000089 0.000098 0.000083 8.716293 0.000574 0.000359 0.000912 0.000000 5815894.440950 0.000000 0.000000 0.946323 1.000520 1.000001 0.993128 0.996186 1.000024 1.000113 1.000001 0.999987 0.966047 4037.430544 3046.703589 0.770426 0.999913 0.999697 0.844073 35725.858893 54447.527019 111907.852001 1.002149 1.000000 215.303066 201.628537 15.019817 7.041749 4.407055 14.933950 1.000000 1.000000 1.000000 1.000000 1.000000 2.743789 513045131200582784.000000 4156.130587 11.688889 0.228636 19112.346772 0.000000
2.700000e+01 0.000000 0.000000 204.790605 4.167298 4892.617713 2663.582651 0.014365 87.986479 518.580155 215.410243 216839.617891 0.565993 2.072033 2.268298 145.046472 2083.098478 58.353868 99.367111 7.617407 8.197843 12.790545 0.025107 0.000080 3.190388 4.491098 0.000083 0.000089 0.000098 0.000083 12.378763 0.000574 0.000388 0.000961 0.000000 5960291.963738 0.000000 0.000000 0.946323 1.000540 1.000001 0.993128 0.996200 1.000025 1.000117 1.000002 0.999987 0.966106 4162.087828 3143.503234 0.770420 0.999910 0.999690 0.844060 36575.137463 56205.431442 125694.115134 1.002112 1.000000 385.479053 359.792290 15.019817 7.041744 4.407050 14.933949 1.000000 1.000000 1.000000 1.000000 1.000000 2.811912 511575602416464320.000000 4166.839509 11.688889 0.228636 19112.337271 0.000000
2.800000e+01 0.000000 0.000000 204.790537 4.167381 4892.617783 2663.582663 0.014365 87.986563 518.582391 215.410255 216839.510093 0.566027 2.134101 2.338161 145.045274 2083.091514 58.353453 99.365624 7.791238 8.456908 17.164791 0.025106 0.000080 4.810764 3.845795 0.000083 0.000089 0.000098 0.000083 94.164276 0.000574 0.000417 0.001012 0.000000 6104494.405675 0.000000 0.000000 0.946322 1.000559 1.000001 0.993128 0.996215 1.000026 1.000121 1.000002 0.999986 0.966165 4286.763780 3240.322360 0.770414 0.999907 0.999683 0.844048 37409.791098 57981.612957 168680.321219 1.002076 1.000000 581.261222 308.095581 15.019817 7.041738 4.407045 14.933949 1.000000 1.000000 1.000000 1.000000 1.000000 2.879943 511582627308168320.000000 4166.925546 11.711111 0.228636 19112.327770 0.000000
2.900000e+01 0.000000 0.000000 204.790468 4.167464 4892.617851 2663.582675 0.014365 87.986647 518.584627 215.410266 216839.402295 0.566062 2.196181 2.408039 145.044077 2083.084474 58.353040 99.364173 7.961954 8.719723 66.429943 0.025105 0.000080 1.758382 2.307415 0.000083 0.000089 0.000098 0.000083 95.927219 0.000575 0.000444 0.001063 0.000000 6248425.031349 0.000000 0.000000 0.946322 1.000579 1.000001 0.993128 0.996230 1.000026 1.000126 1.000002 0.999986 0.966224 4411.464256 3337.162309 0.770407 0.999903 0.999676 0.844035 38229.487671 59783.510686 652814.491400 1.002039 1.000000 212.456772 184.852369 15.019817 7.041733 4.407040 14.933948 1.000000 1.000000 1.000000 1.000000 1.000000 2.947846 511552021041467328.000000 4167.157181 11.688889 0.228636 19112.318268 0.000000
2.950000e+01 0.000000 0.000000 204.790400 4.167547 4892.617919 2663.582687 0.014365 87.986731 518.586863 215.410278 216839.294497 0.566096 2.258273 2.477933 145.042886 2083.077378 58.352629 99.362744 8.129495 8.985901 66.906089 0.025104 0.000080 2.926541 4.054414 0.000083 0.000089 0.000098 0.000083 95.961854 0.000575 0.000472 0.001116 0.000000 6392065.108895 0.000000 0.000000 0.946322 1.000599 1.000001 0.993128 0.996245 1.000027 1.000130 1.000002 0.999985 0.966283 4536.188040 3434.024516 0.770401 0.999900 0.999669 0.844023 39033.938557 61608.454968 657493.630907 1.002003 1.000000 353.599762 324.808533 15.019817 7.041727 4.407034 14.933948 1.000000 1.000000 1.000000 1.000000 1.000000 3.015612 511525912967807552.000000 4167.354246 11.733333 0.228636 19112.308767 0.000000
